BARCODE,PRODUCT CODE,MODEL NAME,PRODUCT NAME,BRAND NAME,MRP,NET QTY,CATEGORY,DISCOUNT,DIWALI SCHEME A,DIWALI SCHEME B,DIWALI SCHEME C,RETAIL,,Brand Name,LARAH,
8901309005920,VJCCASRL20,CASSEROLE WITH LID 2.4L/20CM ,VAJRA CERAMIC CASSEROLE 20 CM,BOROSIL,2550,1,VAJRA CERAMIC,40,4,3,2,30,,HT4CAS14LSAFR,Casserole Set - 4 Pc (FLARE),21
8901309000192,CFTPLYOLC01,TRI PLY OUTER LID PRESTO COOKER 3L,TRIPLY OUTERLID PRESTO COOKER 3L,BOROSIL,4180,13,TRIPLY,50,0,0,0,40,,HT4MUG28FAENO,28CL MUG NOVELTY - 4 Pc,105
8901309000208,CFTPLYOLC02,TRI PLY OUTER LID PRESTO COOKER 5L,TRIPLY OUTERLID PRESTO COOKER 5L,BOROSIL,4880,10,TRIPLY,50,0,0,0,40,,HT4MXB1ASS132,4 N MIX.B ASS(0.50L+LIDS),22
8901309003766,HAPRON65PC04,PRONTO HARD ANODISED SS LID PRESSURE COOKER 6L,HA PRONTO PRESSURE COOKER 6.5L,BOROSIL,3495,5,HA COOKWARE,36,4,3,2,26,,HT4MXB1ASS150,4 N MIX.B ASS(0.75L+LIDS),24
8901309230032,CFTPLYILC01,TRI PLY INNER LID COOKER 1.5L,TRIPLY INNER LID PRESTO COOKER 1.5L,BOROSIL,3190,22,TRIPLY,50,0,0,0,40,,HT4MXB1ASS2PL,4 N MIX. BOWL ASSORTED,120
8901309227285,CFPC2LAL05,PRONTO IB ALUMINIUM COOKER 2L,PRONTO IB ALUMINIUM COOKER 2 LTR,BOROSIL,1395,2,ALUMINIUM COOKER,36,4,3,2,26,,HT4MXB1SNO1PL,4 N MIX. BOWL SNOW(0.5L+0.75L+LIDS),74
8901309227247,CFPC2LAL01,PRONTO IB ALUMINIUM COOKER 2L,PRESTO IB ALUMINIUM COOKER 2 LTR,BOROSIL,1450,4,ALUMINIUM COOKER,36,4,3,2,26,,HT4MXB1SNO3PL,4 N MIX. BOWL SNOW(1L+1.5L+LIDS),46
8901309004558,HAMG08 ,SILVERLINE RG 600W,MIXER GRINDER ,BOROSIL,5690,15,MIXIER GRINDER,50,0,0,0,40,,HT4SNS1BLNMO,Serve N Store - 4 Pc (MOON) ASSORTED,12
8901309005883,VJCDKADI20,DEEP KADHAI WITH LID 2.3L/20CM,VAJRA CERAMIC DEEP KADAI 20 CM,BOROSIL,2495,5,VAJRA CERAMIC,40,4,3,2,30,,HT53DS1BCAGB,Dinner Set - 53 Pc (FLUTED) ASSORTED,15
8901309005906,VJCCASRL16,CASSEROLE WITH LID 1.2L/16CM,VAJRA CERAMIC CASSEROLE 16 CM,BOROSIL,2190,6,VAJRA CERAMIC,40,4,3,2,30,,HT5SLS1AGEFL,Salad Serving Set - 5 Pc ASSORTED,3
8901309005944,VJCCASRL24,CASSEROLE WITH LID 4.2L/24CM,VAJRA CERAMIC CASSEROLE 24 CM,BOROSIL,2950,3,VAJRA CERAMIC,40,4,3,2,30,,HT6KUL20URA1,6 N 20CL KULHAD URBAN ASSORTED,19
8901309000215,CFTSPPOUT16,TRI PLY SAUCE PAN WITH SPOUT 1.75L/16CM,SAUCE PAN WITH SPOUT W/OUT LID 16CM,BOROSIL,2195,16,TRIPLY,50,0,0,0,40,,HT6MKB1HUBPL,Mult.Katori Set- 6Pc (PLANO) ASSORTED,47
8906175200547,DZ201,DREAMZ 6PCS,ROUND FULL PLATE PRINTED,DREAMZ,690,8,HOUSEHOLD,LIST RATE,0,0,0,LIST RATE,,HT6MKB1LOGPL,6 N MULT.KATORI BOWL LOGO,151
8906175200554,DZ202,DREAMZ 6PCS,QUARTER PLATE PRINTED,DREAMZ,363,19,HOUSEHOLD,LIST RATE,0,0,0,LIST RATE,,HT6MUG18IVY,18CL Mug Set-6 (PREMIA),45
8906175200455,DZ202,DREAMZ 6PCS,QUARTER PLATE PLAIN,DREAMZ,307,8,HOUSEHOLD,LIST RATE,0,0,0,LIST RATE,,HT6MXB1SNOPL,6 N MIX. BOWL SNOW(0.5+0.75+1+LID),113
8979133046165,DZ205,DREAMZ 6PCS,ROUND BOWL PRINTED,DREAMZ,215,47,HOUSEHOLD,LIST RATE,0,0,0,LIST RATE,,HT6SB01LOGFL,6 N SOUP BOWL LOGO MOON,120
8906175200561,DZ205,DREAMZ 6PCS,ROUND BOWL PRINTED,DREAMZ,215,36,HOUSEHOLD,LIST RATE,0,0,0,LIST RATE,,HT6SB01LOGMO,6 N SOUP BOWL LOGO FLUTED,78
8906175200462,DZ205,DREAMZ 6PCS,ROUND BOWL PLAIN ,DREAMZ,191,20,HOUSEHOLD,LIST RATE,0,0,0,LIST RATE,,HT6SNP1LOGFR,"7"" Snack Plate - 6 Pc LOGO",48
8901309221313,CFDWSET3NL15,DW SET OF 3 (280ML*2+180ML)VERTICAL,CARRY FRESH SS LUNCHBOX S/3(280X2+180),BOROSIL,1370,35,SS LUNCHBOX,40,4,3,2,30,,HT6SPL10SNOPL,"6 N 10.5"" SOUP PLATE (PLANO) ASSORTED",28
8901309208055,NOT MENTIONED,6 N medium vision d'singner glasses krip black,6 N medium vision d'singner glasses krip black,BOROSIL,605,50,VISION,40,0,0,0,30,,HT6VB01DNA1FL,VEG BOWL(FLUTED) SET - 6 DESIGN ASSORTED,32
8901309219075,bvvichrm295,6 N vision glasses medium cherry,VISION GLASS CHERRY MEDIUM - 295 ML,BOROSIL,655,35,VISION,40,0,0,0,30,,HT6VB01LOGFL,VEG BOWL(FLUTED) SET - 6 ASSORTED,136
8901309227018,bvs6ber295t,6 N berry glasses medium,CUT GLASS BERRY MEDIUM 295 ML S/6,BOROSIL,725,60,VISION,40,0,0,0,30,,HT6VB01LOGMO,Veg Bowl(MOON) Set - 6 ASSORTED,80
8901309233668,NOT MENTIONED,6 N artisan series vision glasses medium roma,6 N artisan series vision glasses medium roma,BOROSIL,645,2,VISION,40,0,0,0,30,,HT7PDS1DNAFL,Pudding Set - 7 (S) (FLUTED) ASSORTED,555
8901309229463,bvvssagem295,6 N vision glasses mwdium,S/6 VISION GLASS SAGE MEDIUM - 295 ML,BOROSIL,605,32,VISION,40,0,0,0,30,,HT7PDS1JOLSQ,PUDDING SET - 7 PC (SQUARE) ASSORTED,31
8901309229494,bvvgernlm295,6 N vision glasses medium green leayes,S/6 VISION GLASS GREEN LEAVES MED-295 ML,BOROSIL,605,32,VISION,40,0,0,0,30,,HT7PS1MHPMO,PLATTER SET - 7 Pc (MOON) ASSORTED,179
8901309207065,NOT MENTIONED,6 N large everest glasses,6 N large everest glasses,BOROSIL,425,11,VISION,40,0,0,0,30,,HT7QP01LOGEMFL,6 N QUARTER PLATE LOGO(EMB.),176
8901309217149,NOT MENTIONED,6 N large everest white,6 N large everest white,BOROSIL,525,1,VISION,40,0,0,0,30,,HT7QP01LOGMO,6 N QUARTER PLATE LOGO,108
8904121216123,NOT MENTIONED,BOTTLE PUNCH PRIME 650,BOTTLE PUNCH PRIME 650,JAYPEE PLUS ,890,17,SMARTSTEEL,40,5,3,2,30,,HT7QP01RLI1FL,QUARTER PLATE SET - 6 (FLUTED) ASSORTED,36
8901309211628,HDTRADSB100,AARTI DIYA MEDIUM,BOROSIL AARTI DIYA MEDIUM,BOROSIL,495,30,DIYA,30,0,0,0,20,,HT8FCS1HUBP1,Fish Curry Set - 8 Pc (FLUTED),3
8901309212717,HDTRPTBR710,BRASS PUJA THALI  ,BRASS PUJA THALI-PUJA SAMAGRI/BELL FREE,BOROSIL,2495,20,PUJA THALI,30,0,0,0,20,,HT8MXB1ASS642,8 N MIX.B ASSORTED,29
8904121212644,NOT MENTIONED,ULTMA LOCKSAFE STEEL CONTAINERS,ULTMA LOCKSAFE STEEL CONTAINERS 1600 ML,JAYPEE PLUS ,410,10,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT8PS1HELFL,PASTA SET - 8 PC ASSORTED,33
8904121209750,NOT MENTIONED,P & C ,P&C PICKLE AND CHUTNEY STATION ,JAYPEE PLUS ,870,15,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT9DE01PULPL,Dessert Set - 9 Pc PLANO ASSORTED,5
8904121209712,NOT MENTIONED,JUPITER 1.2 LTR,JUPITER 1.2 LTR JUG,JAYPEE PLUS ,975,92,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HTCC18DN1OCEFL,Dinner Set - 18 Pcs ASSORTED,6
8901309211062,NOT MENTIONED,ELEGA PANTA GIASS 310 ML,PANTA GIASS 310 ML,BOROSIL,375,16,OLD GLASSES BOROSIL,50,0,0,0,40,,HTCR6MB01LOGFL,Multipurpose Bowl Set - 6 (FLUTED) ASSORTED,96
8901309211222,NOT MENTIONED,ELEGA PANTA GIASS 260 ML,ELEGA PANTA GIASS 260 ML,BOROSIL,395,1,OLD GLASSES BOROSIL,50,0,0,0,40,,HTCR6SPL1HUBFL,SOUP PLATE SET - 6 (FLUTED) ASSORTED,174
8904121212880,NOT MENTIONED,UNIKLASS KLEAR  ROUND 300,UNIKLASS KLEAR  ROUND 300 (290 ML),JAYPEE PLUS ,285,43,JAYPEE GLASSWARE,45,5,3,2,35,,HTCR6SPL1LOGFL,6 N SOUP PLATE LOGO,50
8904121214983,NOT MENTIONED,UNIKLASS KANE  ROUND 1200,UNIKLASS KANE  ROUND (1.2 ML),JAYPEE PLUS ,675,1,JAYPEE GLASSWARE,45,5,3,2,35,,HTECOM12CS14LOG1,12 N 14CL CUP SAUCER LOGO,70
8904121214969,NOT MENTIONED,UNIKLASS KANE  ROUND 600,UNIKLASS KANE  ROUND 600 (66 ML),JAYPEE PLUS ,575,1,JAYPEE GLASSWARE,45,5,3,2,35,,HTFG11740020F1,1 N RICE PLATE (FLUTED) ASSORTED ,1
8904121213979,NOT MENTIONED,UNIKLASS MIXING BOWL 1.6 L,UNIKLASS MIXING BOWL 1.6 L,JAYPEE PLUS ,470,15,JAYPEE GLASSWARE,45,5,3,2,35,,HTFG11740021F1,"1 N FULL PLATE 11"" (FLUTED) ASSORTED",6
8904121214310,NOT MENTIONED,UNIKLASS KLARO SQUARE BAKING DISH 800ML,UNIKLASS KLARO SQUARE BAKING DISH 800ML,JAYPEE PLUS ,495,119,JAYPEE GLASSWARE,45,5,3,2,35,,HTFG11740022F1,1 N QUARTER PLATE (FLUTED) ASSORTED,1
8904121214242,NOT MENTIONED,UNIKLASS KLARO OVAL BAKLNG DISH 700,UNIKLASS KLARO OVAL BAKLNG DISH 640 ML,JAYPEE PLUS ,285,180,JAYPEE GLASSWARE,45,5,3,2,35,,HTFG11740023F1,1 N SERVING BOWL (FLUTED) ASSORTED ,1
